date,machine,shift,planned_time,run_time,downtime,actual_output,ideal_output,good_units,defects,availability,performance,quality,oee
2024-01-01,CNC-01,Morning,480,368,112,569,607,535,34,0.767,0.937,0.94,0.676
2024-01-01,CNC-01,Afternoon,480,410,70,476,587,468,8,0.854,0.811,0.983,0.681
2024-01-01,CNC-01,Night,480,396,84,403,547,381,22,0.825,0.737,0.945,0.575
2024-01-01,CNC-02,Morning,480,418,62,496,564,459,37,0.871,0.879,0.925,0.708
2024-01-01,CNC-02,Afternoon,480,469,11,485,625,463,22,0.977,0.776,0.955,0.724
2024-01-01,CNC-02,Night,480,363,117,482,580,464,18,0.756,0.831,0.963,0.605
2024-01-01,Press-01,Morning,480,379,101,454,600,447,7,0.79,0.757,0.985,0.589
2024-01-01,Press-01,Afternoon,480,409,71,531,668,490,41,0.852,0.795,0.923,0.625
2024-01-01,Press-01,Night,480,468,12,558,655,546,12,0.975,0.852,0.978,0.812
2024-01-01,Assembly-01,Morning,480,432,48,654,698,604,50,0.9,0.937,0.924,0.779
2024-01-01,Assembly-01,Afternoon,480,462,18,543,623,521,22,0.963,0.872,0.959,0.805
2024-01-01,Assembly-01,Night,480,400,80,499,606,493,6,0.833,0.823,0.988,0.677
2024-01-01,Welding-01,Morning,480,393,87,480,628,453,27,0.819,0.764,0.944,0.591
2024-01-01,Welding-01,Afternoon,480,469,11,499,664,475,24,0.977,0.752,0.952,0.699
2024-01-01,Welding-01,Night,480,378,102,546,611,505,41,0.787,0.894,0.925,0.651
2024-01-02,CNC-01,Morning,480,409,71,480,565,445,35,0.852,0.85,0.927,0.671
2024-01-02,CNC-01,Afternoon,480,399,81,463,618,457,6,0.831,0.749,0.987,0.614
2024-01-02,CNC-01,Night,480,431,49,605,682,577,28,0.898,0.887,0.954,0.76
2024-01-02,CNC-02,Morning,480,447,33,503,685,470,33,0.931,0.734,0.934,0.638
2024-01-02,CNC-02,Afternoon,480,406,74,468,581,451,17,0.846,0.806,0.964,0.657
2024-01-02,CNC-02,Night,480,463,17,520,694,489,31,0.965,0.749,0.94,0.679
2024-01-02,Press-01,Morning,480,436,44,494,581,458,36,0.908,0.85,0.927,0.715
2024-01-02,Press-01,Afternoon,480,430,50,562,616,539,23,0.896,0.912,0.959,0.784
2024-01-02,Press-01,Night,480,438,42,549,693,518,31,0.912,0.792,0.944,0.682
2024-01-02,Assembly-01,Morning,480,434,46,502,593,488,14,0.904,0.847,0.972,0.744
2024-01-02,Assembly-01,Afternoon,480,436,44,462,581,426,36,0.908,0.795,0.922,0.666
2024-01-02,Assembly-01,Night,480,468,12,549,624,535,14,0.975,0.88,0.974,0.836
2024-01-02,Welding-01,Morning,480,457,23,465,655,438,27,0.952,0.71,0.942,0.637
2024-01-02,Welding-01,Afternoon,480,381,99,457,565,446,11,0.794,0.809,0.976,0.627
2024-01-02,Welding-01,Night,480,375,105,440,537,419,21,0.781,0.819,0.952,0.609
2024-01-03,CNC-01,Morning,480,467,13,498,653,479,19,0.973,0.763,0.962,0.714
2024-01-03,CNC-01,Afternoon,480,428,52,554,592,526,28,0.892,0.936,0.949,0.792
2024-01-03,CNC-01,Night,480,385,95,444,519,431,13,0.802,0.855,0.971,0.666
2024-01-03,CNC-02,Morning,480,465,15,526,705,488,38,0.969,0.746,0.928,0.671
2024-01-03,CNC-02,Afternoon,480,396,84,525,567,510,15,0.825,0.926,0.971,0.742
2024-01-03,CNC-02,Night,480,444,36,577,732,559,18,0.925,0.788,0.969,0.706
2024-01-03,Press-01,Morning,480,401,79,484,581,463,21,0.835,0.833,0.957,0.666
2024-01-03,Press-01,Afternoon,480,374,106,468,610,456,12,0.779,0.767,0.974,0.582
2024-01-03,Press-01,Night,480,412,68,483,604,476,7,0.858,0.8,0.986,0.677
2024-01-03,Assembly-01,Morning,480,413,67,519,681,489,30,0.86,0.762,0.942,0.617
2024-01-03,Assembly-01,Afternoon,480,468,12,551,748,508,43,0.975,0.737,0.922,0.663
2024-01-03,Assembly-01,Night,480,412,68,622,659,598,24,0.858,0.944,0.961,0.778
2024-01-03,Welding-01,Morning,480,384,96,422,537,400,22,0.8,0.786,0.948,0.596
2024-01-03,Welding-01,Afternoon,480,469,11,577,711,549,28,0.977,0.812,0.951,0.754
2024-01-03,Welding-01,Night,480,403,77,479,604,467,12,0.84,0.793,0.975,0.649
2024-01-04,CNC-01,Morning,480,433,47,520,606,492,28,0.902,0.858,0.946,0.732
2024-01-04,CNC-01,Afternoon,480,460,20,655,728,642,13,0.958,0.9,0.98,0.845
2024-01-04,CNC-01,Night,480,412,68,510,583,475,35,0.858,0.875,0.931,0.699
2024-01-04,CNC-02,Morning,480,412,68,401,569,383,18,0.858,0.705,0.955,0.578
2024-01-04,CNC-02,Afternoon,480,452,28,642,745,628,14,0.942,0.862,0.978,0.794
2024-01-04,CNC-02,Night,480,438,42,505,635,467,38,0.912,0.795,0.925,0.671
2024-01-04,Press-01,Morning,480,470,10,553,705,544,9,0.979,0.784,0.984,0.755
2024-01-04,Press-01,Afternoon,480,448,32,508,664,480,28,0.933,0.765,0.945,0.674
2024-01-04,Press-01,Night,480,381,99,506,603,483,23,0.794,0.839,0.955,0.636
2024-01-04,Assembly-01,Morning,480,469,11,452,625,420,32,0.977,0.723,0.929,0.656
2024-01-04,Assembly-01,Afternoon,480,434,46,489,636,461,28,0.904,0.769,0.943,0.656
2024-01-04,Assembly-01,Night,480,391,89,488,534,470,18,0.815,0.914,0.963,0.717
2024-01-04,Welding-01,Morning,480,438,42,521,722,510,11,0.912,0.722,0.979,0.645
2024-01-04,Welding-01,Afternoon,480,433,47,534,627,529,5,0.902,0.852,0.991,0.762
2024-01-04,Welding-01,Night,480,382,98,492,522,478,14,0.796,0.943,0.972,0.73
2024-01-05,CNC-01,Morning,480,361,119,479,583,460,19,0.752,0.822,0.96,0.593
2024-01-05,CNC-01,Afternoon,480,410,70,447,601,442,5,0.854,0.744,0.989,0.628
2024-01-05,CNC-01,Night,480,457,23,641,723,606,35,0.952,0.887,0.945,0.798
2024-01-05,CNC-02,Morning,480,464,16,548,634,521,27,0.967,0.864,0.951,0.795
2024-01-05,CNC-02,Afternoon,480,395,85,554,645,539,15,0.823,0.859,0.973,0.688
2024-01-05,CNC-02,Night,480,441,39,590,624,564,26,0.919,0.946,0.956,0.831
